x,y
141.109,179.566
88.1815,179.2643
87.3094,179.1541
86.4579,178.9355
85.6406,178.6119
84.8702,178.1884
84.1591,177.6717
83.5182,177.0699
82.9579,176.3926
82.4869,175.6503
82.1126,174.8549
81.8409,174.0189
81.6762,173.1554
81.621,172.2781
81.474,78.6162
81.3557,76.7362
81.0027,74.8858
80.4206,73.0943
79.6186,71.3899
78.6092,69.7994
77.4085,68.348
76.0353,67.0585
74.5114,65.9513
72.8607,65.0438
71.1092,64.3503
69.2847,63.8819
67.4159,63.6458
-16.2908,63.8485
-17.5305,63.4457
-18.631,62.7473
-19.5233,61.7971
-20.1513,60.6549
-20.4754,59.3924
-20.4754,57.9645
-19.9913,56.479
-18.7866,55.1406
-17.2917,54.2846
-15.3327,53.8348
-12.9466,53.6481
67.231,52.8035
69.0999,52.5674
70.9244,52.0989
72.6759,51.4055
74.3266,50.498
75.8505,49.3908
77.2237,48.1013
78.4244,46.6499
79.4338,45.0594
80.2358,43.355
80.8179,41.5634
81.1709,39.7131
81.2892,37.8331
81.5183,13.5451
